Point ,hidden_dim,learningrate_,lrdecay_,weightdecay_,data_ave,data_std,tr_acc,tr_prec,tr_reca,tr_f1,,tes_acc,tes_prec,tes_reca,tes_f1,,bias_,hiddenclass_,outclass_,num_epoch,momentum_,batchlearning_
19,117,0.22097422,0.044355849,0.756430019,1,0.980169931,0.448908151,0.458804809,0.913732394,0.610875706,,0.448908151,0.458804809,0.913732394,0.610875706,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
20,198,0.032700292,0.029030858,0.763437616,1,1.002478136,0.440906818,0.059020045,0.020686963,0.030635838,,0.440906818,0.059020045,0.020686963,0.030635838,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
21,111,0.416127603,0.023892051,0.545228907,1,0.906365141,0.407401234,0,0,0,,0.407401234,0,0,0,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
22,101,0.823877624,0.075151206,0.741674007,1,1.086980807,0.691448575,0,0,0,,0.691448575,0,0,0,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
23,60,0.705001264,0.091153851,0.607144774,1,0.997565164,0.48708118,0.455475559,0.92213272,0.609765377,,0.48708118,0.455475559,0.92213272,0.609765377,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
24,81,0.557506766,0.096822869,0.090906706,1,1.011716658,0.45674279,0.432700679,0.999597747,0.603961599,,0.45674279,0.432700679,0.999597747,0.603961599,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
25,92,0.913201334,0.036480611,0.502115723,1,0.810325865,0.561926988,0.737243402,0.59208667,0.656739812,,0.561926988,0.737243402,0.59208667,0.656739812,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
26,27,0.120194239,0.065055274,0.358968483,1,0.880884548,0.625604267,0.666354484,0.776111263,0.717057193,,0.625604267,0.666354484,0.776111263,0.717057193,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
27,180,0.936945109,0.052468525,0.075074516,1,0.896297748,0.593265544,0.595334005,0.99189038,0.744073841,,0.593265544,0.595334005,0.99189038,0.744073841,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
28,25,0.152735095,0.067333271,0.129125063,1,0.861402675,0.217036173,0.128774423,0.037555038,0.058151193,,0.217036173,0.128774423,0.037555038,0.058151193,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
29,86,0.553378266,0.042342802,0.211527401,1,0.860135039,0.651441907,0.647664024,0.999479438,0.785999386,,0.651441907,0.647664024,0.999479438,0.785999386,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
30,167,0.203454162,0.018208868,0.654562606,1,0.956107469,0.494082347,0,0,0,,0.494082347,0,0,0,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
31,69,0.600072342,0.062230071,0.445267056,1,1.094346772,0.617936323,0.011804384,0.004086398,0.006071119,,0.617936323,0.011804384,0.004086398,0.006071119,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
32,126,0.011630292,0.026872195,0.670317356,1,1.118968482,0.392065344,0.18550044,0.420212766,0.257381389,,0.392065344,0.18550044,0.420212766,0.257381389,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
33,161,0.803128465,0.014133761,0.250817552,1,0.949832735,0.506251042,0.506168723,1,0.672127518,,0.506251042,0.506168723,1,0.672127518,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
34,179,0.882918343,0.098116487,0.02194666,1,0.778243301,0.748291382,0.74799733,1,0.855833492,,0.748291382,0.74799733,1,0.855833492,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
