Point ,hidden_dim,learningrate_,lrdecay_,weightdecay_,data_ave,data_std,tr_acc,tr_prec,tr_reca,tr_f1,,tes_acc,tes_prec,tes_reca,tes_f1,,bias_,hiddenclass_,outclass_,num_epoch,momentum_,batchlearning_
0,177,0.054385663,0.017742868,0.804185255,0.96767085,0.93068068,0.385730955,0.296200345,0.106753813,0.156943491,,0.409472517,0.20950324,0.099623417,0.135034803,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
1,127,0.067186722,0.096022519,0.06976769,0.984275861,1.108368799,0.374229038,0.113093235,0.230927835,0.151830095,,0.334547759,0.254412893,0.226977063,0.239913154,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
2,34,0.060916869,0.060577769,0.354004925,0.97817701,1.030347071,0.355059177,0.157375643,0.161602818,0.159461221,,0.335022968,0.214573089,0.164327285,0.186118651,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
3,189,0.090509227,0.090225006,0.452883294,0.977135334,1.033702378,0.590265044,0.487217725,0.978186484,0.650455063,,0.630445113,0.557489245,0.976035604,0.709645302,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
4,20,0.084190228,0.041533663,0.44925189,0.980549925,1.081923602,0.631938656,0.444109672,0.80239521,0.571761055,,0.649611912,0.593659181,0.769257104,0.670146138,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
5,22,0.011140441,0.06482767,0.675716022,0.961315462,0.820974312,0.408568095,0.578592375,0.483104799,0.526554577,,0.350863298,0.35224705,0.480314961,0.406431054,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
6,199,0.017094572,0.011959971,0.12185363,0.960929242,0.841241385,0.299049842,0.40585443,0.129316864,0.196138406,,0.393315381,0.220994475,0.123245464,0.158241758,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
7,136,0.025051268,0.0939944,0.319667604,0.984443128,1.102393872,0.555925988,0.347554039,0.76758794,0.478465153,,0.615079994,0.56045309,0.779185211,0.651962188,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
8,83,0.07693074,0.067909028,0.005991631,0.967620004,0.933111627,0.488914819,0.540604344,0.353613342,0.427557879,,0.514493901,0.468,0.360492982,0.407271321,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
9,109,0.020020417,0.017599749,0.835118631,0.979275477,1.058201888,0.559259877,0.245107176,0.125417263,0.165930599,,0.492159037,0.357642358,0.122560767,0.182559918,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
10,153,0.096533115,0.07454576,0.635748878,0.971853081,0.980086182,0.638773129,0.571398305,0.949313622,0.713397699,,0.634405196,0.562360122,0.946251284,0.70546197,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
